date,city,station_name,evidence,event_type,comment,parameter,value
2010-07-29,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/3ljN6L8 ,TF,BC wildfires,pm25,6.1
2010-08-03,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/2WIeb4a,TF,BC wildfires,pm25,5.1
2010-08-04,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/2WJWW2z,TF,BC wildfires,pm25,8.3
2010-08-05,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/3iz05a3,TF,BC wildfires,pm25,12.7
2010-08-15,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/3ljCMmG,TF,BC wildfires,pm25,56.6
2010-08-16,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/3jCCaYH,TF,BC wildfires,pm25,52.3
2010-08-17,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/2F6Z6Av,TF,BC wildfires,pm25,22
2010-08-18,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/2SdSmUd ,TF,BC wildfires,pm25,52.2
2010-08-19,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/3nrJau2,TF,BC wildfires,pm25,21.8
2010-08-20,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/2GLimnG,TF,BC wildfires,pm25,27.3
2010-08-21,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/33B2Aok,TF,BC wildfires,pm25,22.2
2011-06-17,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/2ZLEmYP,TF,Alberta wildfires,pm25,13.3
2012-07-08,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/33yguYf,TF,Siberia wildfires,pm25,23.7
2012-07-08,Burns Lake,Burns Lake Fire Centre,TF_EE evidence directory,TF,Siberia wildfires,pm25,23.7
2012-07-09,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/3iFbWn4,TF,Siberia wildfires,pm25,23.7
2012-07-09,Burns Lake,Burns Lake Fire Centre,TF_EE evidence directory,TF,Siberia wildfires,pm25,23.7
2012-08-19,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/3abytGy,TF,BC wildfires,pm25,22.7
2012-08-19,Burns Lake,Burns Lake Fire Centre,TF_EE evidence directory,TF,BC wildfires,pm25,22.7
2012-08-20,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/300GRXx,TF,BC wildfires,pm25,8.3
2012-09-20,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/3Dexq53,TF,BC wildfires,pm25,9.1
2014-07-12,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/2GzPVt1,TF,BC wildfires,pm25,12.9
2014-07-13,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/34vF2Af,TF,BC wildfires,pm25,5
2014-07-14,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/36G18TE,TF,BC wildfires,pm25,13.1
2014-08-01,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/3iA0YiD,TF,BC wildfires,pm25,13.2
2014-08-02,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/34x2RHT,TF,BC wildfires,pm25,24.5
2014-08-03,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/33AXgB4,TF,BC wildfires,pm25,7.8
2014-08-04,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/3iA16P9,TF,BC wildfires,pm25,27.6
2014-08-12,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/3no5THd,TF,BC wildfires,pm25,10.3
2014-08-13,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/3iwKt76,TF,BC wildfires,pm25,13.1
2014-08-14,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/30Hzu4N,TF,BC wildfires,pm25,19.5
2014-08-15,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/3d7aFnN,TF,BC wildfires,pm25,11.4
2014-08-21,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/3ov9GWe,TF,BC wildfires,pm25,8.7
2014-08-24,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/36znPbY,TF,BC wildfires,pm25,15.8
2014-09-15,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/3FmiaVG,TF,BC wildfires,pm25,17.4
2014-09-16,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/3iC7ybv,TF,BC wildfires,pm25,14
2014-09-17,Burns Lake,Burns Lake Fire Centre,,TF,BC wildfires,pm25,15.4
2014-09-18,Burns Lake,Burns Lake Fire Centre,,TF,BC wildfires,pm25,16.4
2015-05-11,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/3d5JREu,TF,BC wildfires,pm25,7.5
2015-05-13,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/36NXebn,TF,BC wildfires,pm25,13.3
2015-07-11,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/34PecDF,TF,BC wildfires,pm25,9.5
2017-08-06,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/36Ka36e,TF,BC wildfires,pm25,14.2
2017-08-07,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/3ny2W76,TF,BC wildfires,pm25,6.6
2017-08-08,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/3mwqoSr,TF,BC wildfires,pm25,28.9
2017-08-09,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/34D7FLV,TF,BC wildfires,pm25,35.2
2017-08-10,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/3ouKizJ,TF,BC wildfires,pm25,31.5
2017-08-11,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/30PPmlQ,TF,BC wildfires,pm25,34.3
2017-08-12,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/3lk73lg,TF,BC wildfires,pm25,13.3
2017-09-06,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/3jIYLTn,TF,BC wildfires,pm25,18.4
2017-09-07,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/2GMvvg3,TF,BC wildfires,pm25,28
2018-07-22,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/3a6UQwG,TF,BC wildfires,pm25,6.7
2018-07-24,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/34MYIQx,TF,BC wildfires,pm25,11.2
2018-07-25,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/30SwpPe,TF,BC wildfires,pm25,25.1
2018-07-26,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/30TFU0B,TF,BC wildfires,pm25,24.2
2018-07-27,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/3iRD4PL,TF,BC wildfires,pm25,24.6
2018-07-28,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/3iNwl9I,TF,BC wildfires,pm25,22.7
2018-07-29,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/33JTKV8,TF,BC wildfires,pm25,16.3
2018-07-30,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/33M1je4,TF,BC wildfires,pm25,25.4
2018-07-31,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/3mj88Me,TF,BC wildfires,pm25,31.1
2018-08-01,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/3nUsefZ,TF,BC wildfires,pm25,14.5
2018-08-02,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/375063w,TF,BC wildfires,pm25,4.4
2018-08-05,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/2H4x8pn,TF,BC wildfires,pm25,12.5
2018-08-07,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/3jVhfQJ,TF,BC wildfires,pm25,11.1
2018-08-08,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/36Yj389,TF,BC wildfires,pm25,12.8
2018-08-09,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/370SXBi,TF,BC wildfires,pm25,18.8
2018-08-10,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/370Ix4L,TF,BC wildfires,pm25,71.7
2018-08-11,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/33SunAw,TF,BC wildfires,pm25,70.2
2018-08-12,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/33Uvy2B,TF,BC wildfires,pm25,40.8
2018-08-13,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/33T6bxV,TF,BC wildfires,pm25,10.7
2018-08-14,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/313dsJK,TF,BC wildfires,pm25,79
2018-08-15,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/3dp50cN,TF,BC wildfires,pm25,24.7
2018-08-16,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/372QKVW,TF,BC wildfires,pm25,178
2018-08-17,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/3nP5DBp,TF,BC wildfires,pm25,6.9
2018-08-19,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/314tYJE,TF,BC wildfires,pm25,33.9
2018-08-20,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/3nOjW9i,TF,BC wildfires,pm25,83.6
2018-08-21,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/3lFWt8k,TF,BC wildfires,pm25,883
2018-08-22,Burns Lake,Burns Lake Fire Centre,https://go.nasa.gov/313YwLp,TF,BC wildfires,pm25,251
