station_name,year,type,time_average,param,name,value,threshold,threshold_2025,data_capture_met,q1,q2,q3,q4
Prince George Plaza 400,2022,CAAQS,annual,so2,SO2 annual,1.4,5,4,yes,94.4,100,98.9,100
Prince George Plaza 400,2023,CAAQS,annual,so2,SO2 annual,1.3,5,4,yes,97.8,94.5,98.9,97.8
Prince George Plaza 400,2024,CAAQS,annual,so2,SO2 annual,1.1,5,4,yes,100,98.9,91.3,95.7
Prince George Plaza 400,2025,CAAQS,annual,so2,SO2 annual,1.2,4,4,yes,86.7,100,100,93.5
Prince George Jail,2010,CAAQS,1-hour,so2,SO2 1-hr,,70,65,no,100,100,100,100
Prince George Jail,2011,CAAQS,1-hour,so2,SO2 1-hr,75,70,65,yes,100,100,98.9,100
Prince George Jail,2012,CAAQS,1-hour,so2,SO2 1-hr,75,70,65,yes,97.8,97.8,100,100
Prince George Jail,2013,CAAQS,1-hour,so2,SO2 1-hr,76,70,65,yes,100,100,100,98.9
Prince George Jail,2014,CAAQS,1-hour,so2,SO2 1-hr,78,70,65,yes,98.9,98.9,100,100
Prince George Jail,2015,CAAQS,1-hour,so2,SO2 1-hr,83,70,65,yes,100,94.5,98.9,97.8
Prince George Jail,2016,CAAQS,1-hour,so2,SO2 1-hr,80,70,65,yes,97.8,100,98.9,100
Prince George Jail,2017,CAAQS,1-hour,so2,SO2 1-hr,80,70,65,yes,100,98.9,96.7,100
Prince George Jail,2018,CAAQS,1-hour,so2,SO2 1-hr,75,70,65,yes,96.7,100,96.7,100
Prince George Jail,2019,CAAQS,1-hour,so2,SO2 1-hr,72,70,65,yes,100,98.9,100,100
Prince George Jail,2020,CAAQS,1-hour,so2,SO2 1-hr,73,70,65,yes,100,97.8,100,100
Prince George Jail,2021,CAAQS,1-hour,so2,SO2 1-hr,71,70,65,yes,100,100,100,97.8
Prince George Jail,2022,CAAQS,1-hour,so2,SO2 1-hr,70,70,65,yes,100,98.9,100,97.8
Prince George Jail,2023,CAAQS,1-hour,so2,SO2 1-hr,60,70,65,yes,100,100,72.8,98.9
Prince George Jail,2024,CAAQS,1-hour,so2,SO2 1-hr,56,70,65,yes,100,98.9,100,95.7
Prince George Jail,2025,CAAQS,1-hour,so2,SO2 1-hr,62,65,65,yes,94.4,98.9,100,87
Prince George Jail,2010,CAAQS,annual,so2,SO2 annual,4.2,5,4,yes,100,100,100,100
Prince George Jail,2011,CAAQS,annual,so2,SO2 annual,3.2,5,4,yes,100,100,98.9,100
Prince George Jail,2012,CAAQS,annual,so2,SO2 annual,3.4,5,4,yes,97.8,97.8,100,100
Prince George Jail,2013,CAAQS,annual,so2,SO2 annual,3.2,5,4,yes,100,100,100,98.9
Prince George Jail,2014,CAAQS,annual,so2,SO2 annual,3.2,5,4,yes,98.9,98.9,100,100
Prince George Jail,2015,CAAQS,annual,so2,SO2 annual,3.1,5,4,yes,100,94.5,98.9,97.8
Prince George Jail,2016,CAAQS,annual,so2,SO2 annual,3.2,5,4,yes,97.8,100,98.9,100
Prince George Jail,2017,CAAQS,annual,so2,SO2 annual,3.3,5,4,yes,100,98.9,96.7,100
Prince George Jail,2018,CAAQS,annual,so2,SO2 annual,3.3,5,4,yes,96.7,100,96.7,100
Prince George Jail,2019,CAAQS,annual,so2,SO2 annual,2.8,5,4,yes,100,98.9,100,100
Prince George Jail,2020,CAAQS,annual,so2,SO2 annual,3,5,4,yes,100,97.8,100,100
Prince George Jail,2021,CAAQS,annual,so2,SO2 annual,2.2,5,4,yes,100,100,100,97.8
Prince George Jail,2022,CAAQS,annual,so2,SO2 annual,2.6,5,4,yes,100,98.9,100,97.8
Prince George Jail,2023,CAAQS,annual,so2,SO2 annual,2.6,5,4,yes,100,100,72.8,98.9
Prince George Jail,2024,CAAQS,annual,so2,SO2 annual,2.6,5,4,yes,100,98.9,100,95.7
Prince George Jail,2025,CAAQS,annual,so2,SO2 annual,2.7,4,4,yes,94.4,98.9,100,87
Prince George Plaza 400,2010,CAAQS,8-hour,o3,O3 8-hr,,62,60,no,,,90.2,
Prince George Plaza 400,2011,CAAQS,8-hour,o3,O3 8-hr,54,62,60,yes,,,85.3,
Prince George Plaza 400,2012,CAAQS,8-hour,o3,O3 8-hr,54,62,60,no,,,53.6,
Prince George Plaza 400,2013,CAAQS,8-hour,o3,O3 8-hr,53,62,60,yes,,,98.4,
Prince George Plaza 400,2014,CAAQS,8-hour,o3,O3 8-hr,52,62,60,yes,,,96.7,
Prince George Plaza 400,2015,CAAQS,8-hour,o3,O3 8-hr,54,62,60,yes,,,97.2,
Prince George Plaza 400,2016,CAAQS,8-hour,o3,O3 8-hr,53,62,60,yes,,,97.8,
Prince George Plaza 400,2017,CAAQS,8-hour,o3,O3 8-hr,52,62,60,yes,,,77,
Prince George Plaza 400,2018,CAAQS,8-hour,o3,O3 8-hr,51,62,60,yes,,,95.1,
Prince George Plaza 400,2019,CAAQS,8-hour,o3,O3 8-hr,51,62,60,yes,,,98.9,
Prince George Plaza 400,2020,CAAQS,8-hour,o3,O3 8-hr,51,62,60,yes,,,98.9,
Prince George Plaza 400,2021,CAAQS,8-hour,o3,O3 8-hr,49,62,60,yes,,,89.1,
Prince George Plaza 400,2022,CAAQS,8-hour,o3,O3 8-hr,46,62,60,yes,,,100,
Prince George Plaza 400,2023,CAAQS,8-hour,o3,O3 8-hr,49,62,60,yes,,,93.4,
Prince George Plaza 400,2024,CAAQS,8-hour,o3,O3 8-hr,51,62,60,yes,,,89.1,
Prince George Plaza 400,2025,CAAQS,8-hour,o3,O3 8-hr,53,60,60,yes,,,98.9,
Prince George Plaza 400,2010,PCO,1-hour,trs,TRS 1-hr,1091,5,5,yes,93.3,100,100,94.6
Prince George Plaza 400,2011,PCO,1-hour,trs,TRS 1-hr,498,5,5,yes,81.1,87.9,96.7,96.7
Prince George Plaza 400,2012,PCO,1-hour,trs,TRS 1-hr,972,5,5,yes,97.8,95.6,98.9,100
Prince George Plaza 400,2013,PCO,1-hour,trs,TRS 1-hr,1022,5,5,no,100,36.3,100,98.9
Prince George Plaza 400,2014,PCO,1-hour,trs,TRS 1-hr,1163,5,5,yes,98.9,93.4,100,97.8
Prince George Plaza 400,2015,PCO,1-hour,trs,TRS 1-hr,883,5,5,yes,94.4,90.1,92.4,70.7
Prince George Plaza 400,2016,PCO,1-hour,trs,TRS 1-hr,578,5,5,no,90.1,97.8,72.8,33.7
Prince George Plaza 400,2017,PCO,1-hour,trs,TRS 1-hr,587,5,5,no,96.7,97.8,56.5,
Prince George Plaza 400,2018,PCO,1-hour,trs,TRS 1-hr,626,5,5,yes,77.8,92.3,89.1,91.3
Prince George Plaza 400,2019,PCO,1-hour,trs,TRS 1-hr,469,5,5,yes,82.2,98.9,96.7,100
Prince George Plaza 400,2020,PCO,1-hour,trs,TRS 1-hr,420,5,5,yes,100,97.8,97.8,100
Prince George Plaza 400,2021,PCO,1-hour,trs,TRS 1-hr,507,5,5,no,46.7,100,98.9,98.9
Prince George Plaza 400,2022,PCO,1-hour,trs,TRS 1-hr,535,5,5,yes,96.7,100,100,90.2
Prince George Plaza 400,2023,PCO,1-hour,trs,TRS 1-hr,942,5,5,yes,95.6,100,97.8,97.8
Prince George Plaza 400,2024,PCO,1-hour,trs,TRS 1-hr,718,5,5,yes,84.6,98.9,96.7,97.8
Prince George Plaza 400,2025,PCO,1-hour,trs,TRS 1-hr,,5,5,no,96.7,100,53.3,89.1
Prince George Plaza 400,2010,PCO,24-hour,trs,TRS 24-hr,123,2,2,yes,93.3,100,100,94.6
Prince George Plaza 400,2011,PCO,24-hour,trs,TRS 24-hr,58,2,2,yes,81.1,87.9,96.7,96.7
Prince George Plaza 400,2012,PCO,24-hour,trs,TRS 24-hr,123,2,2,yes,97.8,95.6,98.9,100
Prince George Plaza 400,2013,PCO,24-hour,trs,TRS 24-hr,116,2,2,no,100,36.3,100,98.9
Prince George Plaza 400,2014,PCO,24-hour,trs,TRS 24-hr,146,2,2,yes,98.9,93.4,100,97.8
Prince George Plaza 400,2015,PCO,24-hour,trs,TRS 24-hr,114,2,2,yes,94.4,90.1,92.4,70.7
Prince George Plaza 400,2016,PCO,24-hour,trs,TRS 24-hr,62,2,2,no,90.1,97.8,72.8,33.7
Prince George Plaza 400,2017,PCO,24-hour,trs,TRS 24-hr,84,2,2,no,96.7,97.8,56.5,
Prince George Plaza 400,2018,PCO,24-hour,trs,TRS 24-hr,76,2,2,yes,77.8,92.3,89.1,91.3
Prince George Plaza 400,2019,PCO,24-hour,trs,TRS 24-hr,69,2,2,yes,82.2,98.9,96.7,100
Prince George Plaza 400,2020,PCO,24-hour,trs,TRS 24-hr,64,2,2,yes,100,97.8,97.8,100
Prince George Plaza 400,2021,PCO,24-hour,trs,TRS 24-hr,67,2,2,no,46.7,100,98.9,98.9
Prince George Plaza 400,2022,PCO,24-hour,trs,TRS 24-hr,70,2,2,yes,96.7,100,100,90.2
Prince George Plaza 400,2023,PCO,24-hour,trs,TRS 24-hr,112,2,2,yes,95.6,100,97.8,97.8
Prince George Plaza 400,2024,PCO,24-hour,trs,TRS 24-hr,82,2,2,yes,84.6,98.9,96.7,97.8
Prince George Plaza 400,2025,PCO,24-hour,trs,TRS 24-hr,,2,2,no,96.7,100,53.3,89.1
Prince George Jail,2010,PCO,1-hour,trs,TRS 1-hr,927,5,5,yes,95.6,100,98.9,100
Prince George Jail,2011,PCO,1-hour,trs,TRS 1-hr,317,5,5,yes,100,100,100,100
Prince George Jail,2012,PCO,1-hour,trs,TRS 1-hr,836,5,5,yes,96.7,100,100,100
Prince George Jail,2013,PCO,1-hour,trs,TRS 1-hr,925,5,5,yes,100,100,98.9,98.9
Prince George Jail,2014,PCO,1-hour,trs,TRS 1-hr,1192,5,5,yes,95.6,74.7,100,98.9
Prince George Jail,2015,PCO,1-hour,trs,TRS 1-hr,1362,5,5,yes,100,98.9,97.8,100
Prince George Jail,2016,PCO,1-hour,trs,TRS 1-hr,1096,5,5,yes,90.1,98.9,97.8,100
Prince George Jail,2017,PCO,1-hour,trs,TRS 1-hr,1598,5,5,yes,100,98.9,100,100
Prince George Jail,2018,PCO,1-hour,trs,TRS 1-hr,1098,5,5,no,94.4,65.9,97.8,100
Prince George Jail,2019,PCO,1-hour,trs,TRS 1-hr,586,5,5,yes,100,98.9,100,100
Prince George Jail,2020,PCO,1-hour,trs,TRS 1-hr,522,5,5,yes,100,100,96.7,97.8
Prince George Jail,2021,PCO,1-hour,trs,TRS 1-hr,824,5,5,yes,98.9,98.9,98.9,100
Prince George Jail,2022,PCO,1-hour,trs,TRS 1-hr,862,5,5,yes,100,98.9,97.8,98.9
Prince George Jail,2023,PCO,1-hour,trs,TRS 1-hr,980,5,5,yes,96.7,98.9,97.8,98.9
Prince George Jail,2024,PCO,1-hour,trs,TRS 1-hr,758,5,5,yes,98.9,100,96.7,94.6
Prince George Jail,2025,PCO,1-hour,trs,TRS 1-hr,683,5,5,yes,95.6,96.7,95.7,88
Prince George Jail,2010,PCO,24-hour,trs,TRS 24-hr,120,2,2,yes,95.6,100,98.9,100
Prince George Jail,2011,PCO,24-hour,trs,TRS 24-hr,44,2,2,yes,100,100,100,100
Prince George Jail,2012,PCO,24-hour,trs,TRS 24-hr,99,2,2,yes,96.7,100,100,100
Prince George Jail,2013,PCO,24-hour,trs,TRS 24-hr,115,2,2,yes,100,100,98.9,98.9
Prince George Jail,2014,PCO,24-hour,trs,TRS 24-hr,146,2,2,yes,95.6,74.7,100,98.9
Prince George Jail,2015,PCO,24-hour,trs,TRS 24-hr,150,2,2,yes,100,98.9,97.8,100
Prince George Jail,2016,PCO,24-hour,trs,TRS 24-hr,124,2,2,yes,90.1,98.9,97.8,100
Prince George Jail,2017,PCO,24-hour,trs,TRS 24-hr,176,2,2,yes,100,98.9,100,100
Prince George Jail,2018,PCO,24-hour,trs,TRS 24-hr,111,2,2,no,94.4,65.9,97.8,100
Prince George Jail,2019,PCO,24-hour,trs,TRS 24-hr,87,2,2,yes,100,98.9,100,100
Prince George Jail,2020,PCO,24-hour,trs,TRS 24-hr,85,2,2,yes,100,100,96.7,97.8
Prince George Jail,2021,PCO,24-hour,trs,TRS 24-hr,115,2,2,yes,98.9,98.9,98.9,100
Prince George Jail,2022,PCO,24-hour,trs,TRS 24-hr,114,2,2,yes,100,98.9,97.8,98.9
Prince George Jail,2023,PCO,24-hour,trs,TRS 24-hr,113,2,2,yes,96.7,98.9,97.8,98.9
Prince George Jail,2024,PCO,24-hour,trs,TRS 24-hr,94,2,2,yes,98.9,100,96.7,94.6
Prince George Jail,2025,PCO,24-hour,trs,TRS 24-hr,96,2,2,yes,95.6,96.7,95.7,88
Prince George Exploration Place,2010,PCO,1-hour,trs,TRS 24-hr,,5,5,no,,,17.4,100
Prince George Exploration Place,2011,PCO,1-hour,trs,TRS 24-hr,51,5,5,yes,100,100,100,100
Prince George Exploration Place,2012,PCO,1-hour,trs,TRS 24-hr,,5,5,no,94.5,95.6,100,33.7
Prince George Exploration Place,2013,PCO,1-hour,trs,TRS 24-hr,38,5,5,no,,,53.3,85.9
Prince George Exploration Place,2014,PCO,1-hour,trs,TRS 24-hr,108,5,5,yes,100,97.8,92.4,100
Prince George Exploration Place,2015,PCO,1-hour,trs,TRS 24-hr,101,5,5,yes,91.1,98.9,100,84.8
Prince George Exploration Place,2016,PCO,1-hour,trs,TRS 24-hr,76,5,5,yes,92.3,95.6,100,100
Prince George Exploration Place,2017,PCO,1-hour,trs,TRS 24-hr,,5,5,no,33.3,82.4,95.7,93.5
Prince George Exploration Place,2018,PCO,1-hour,trs,TRS 24-hr,84,5,5,yes,93.3,100,93.5,95.7
Prince George Exploration Place,2019,PCO,1-hour,trs,TRS 24-hr,64,5,5,yes,100,98.9,95.7,100
Prince George Exploration Place,2020,PCO,1-hour,trs,TRS 24-hr,,5,5,no,100,96.7,30.4,100
Prince George Exploration Place,2021,PCO,1-hour,trs,TRS 24-hr,74,5,5,yes,100,97.8,100,97.8
Prince George Exploration Place,2022,PCO,1-hour,trs,TRS 24-hr,79,5,5,yes,98.9,90.1,92.4,95.7
Prince George Exploration Place,2023,PCO,1-hour,trs,TRS 24-hr,114,5,5,yes,98.9,98.9,98.9,100
Prince George Exploration Place,2024,PCO,1-hour,trs,TRS 24-hr,86,5,5,yes,98.9,98.9,98.9,100
Prince George Exploration Place,2025,PCO,1-hour,trs,TRS 24-hr,55,5,5,yes,98.9,98.9,98.9,94.6
Prince George Exploration Place,2010,PCO,24-hour,trs,TRS 24-hr,,2,2,no,,,17.4,100
Prince George Exploration Place,2011,PCO,24-hour,trs,TRS 24-hr,108,2,2,yes,100,100,100,100
Prince George Exploration Place,2012,PCO,24-hour,trs,TRS 24-hr,,2,2,no,94.5,95.6,100,33.7
Prince George Exploration Place,2013,PCO,24-hour,trs,TRS 24-hr,,2,2,no,,,53.3,85.9
Prince George Exploration Place,2014,PCO,24-hour,trs,TRS 24-hr,88,2,2,yes,100,97.8,92.4,100
Prince George Exploration Place,2015,PCO,24-hour,trs,TRS 24-hr,84,2,2,yes,91.1,98.9,100,84.8
Prince George Exploration Place,2016,PCO,24-hour,trs,TRS 24-hr,64,2,2,yes,92.3,95.6,100,100
Prince George Exploration Place,2017,PCO,24-hour,trs,TRS 24-hr,,2,2,no,33.3,82.4,95.7,93.5
Prince George Exploration Place,2018,PCO,24-hour,trs,TRS 24-hr,74,2,2,yes,93.3,100,93.5,95.7
Prince George Exploration Place,2019,PCO,24-hour,trs,TRS 24-hr,79,2,2,yes,100,98.9,95.7,100
Prince George Exploration Place,2020,PCO,24-hour,trs,TRS 24-hr,,2,2,no,100,96.7,30.4,100
Prince George Exploration Place,2021,PCO,24-hour,trs,TRS 24-hr,86,2,2,yes,100,97.8,100,97.8
Prince George Exploration Place,2022,PCO,24-hour,trs,TRS 24-hr,55,2,2,yes,98.9,90.1,92.4,95.7
Prince George Exploration Place,2023,PCO,24-hour,trs,TRS 24-hr,39,2,2,yes,98.9,98.9,98.9,100
Prince George Exploration Place,2024,PCO,24-hour,trs,TRS 24-hr,51,2,2,yes,98.9,98.9,98.9,100
Prince George Exploration Place,2025,PCO,24-hour,trs,TRS 24-hr,54,2,2,yes,98.9,98.9,98.9,94.6
Prince George Lakewood,2010,PCO,1-hour,trs,TRS 1-hr,175,5,5,yes,100,92.3,100,100
Prince George Lakewood,2011,PCO,1-hour,trs,TRS 1-hr,35,5,5,yes,100,100,100,98.9
Prince George Lakewood,2012,PCO,1-hour,trs,TRS 1-hr,95,5,5,yes,100,97.8,97.8,96.7
Prince George Lakewood,2013,PCO,1-hour,trs,TRS 1-hr,,5,5,no,95.6,52.7,90.2,77.2
Prince George Lakewood,2014,PCO,1-hour,trs,TRS 1-hr,277,5,5,yes,95.6,98.9,97.8,96.7
Prince George Lakewood,2015,PCO,1-hour,trs,TRS 1-hr,298,5,5,yes,85.6,80.2,91.3,100
Prince George Lakewood,2016,PCO,1-hour,trs,TRS 1-hr,233,5,5,yes,100,100,100,98.9
Prince George Lakewood,2017,PCO,1-hour,trs,TRS 1-hr,268,5,5,yes,98.9,96.7,84.8,100
Prince George Lakewood,2018,PCO,1-hour,trs,TRS 1-hr,328,5,5,yes,96.7,98.9,96.7,100
Prince George Lakewood,2019,PCO,1-hour,trs,TRS 1-hr,159,5,5,yes,100,96.7,100,95.7
Prince George Lakewood,2020,PCO,1-hour,trs,TRS 1-hr,97,5,5,yes,97.8,98.9,100,100
Prince George Lakewood,2021,PCO,1-hour,trs,TRS 1-hr,178,5,5,yes,100,98.9,98.9,100
Prince George Lakewood,2022,PCO,1-hour,trs,TRS 1-hr,116,5,5,yes,98.9,98.9,100,94.6
Prince George Lakewood,2023,PCO,1-hour,trs,TRS 1-hr,276,5,5,yes,98.9,96.7,94.6,100
Prince George Lakewood,2024,PCO,1-hour,trs,TRS 1-hr,232,5,5,yes,97.8,100,100,93.5
Prince George Lakewood,2025,PCO,1-hour,trs,TRS 1-hr,93,5,5,yes,96.7,94.5,98.9,85.9
Prince George Lakewood,2010,PCO,24-hour,trs,TRS 24-hr,21,2,2,yes,100,92.3,100,100
Prince George Lakewood,2011,PCO,24-hour,trs,TRS 24-hr,7,2,2,yes,100,100,100,98.9
Prince George Lakewood,2012,PCO,24-hour,trs,TRS 24-hr,12,2,2,yes,100,97.8,97.8,96.7
Prince George Lakewood,2013,PCO,24-hour,trs,TRS 24-hr,,2,2,no,95.6,52.7,90.2,77.2
Prince George Lakewood,2014,PCO,24-hour,trs,TRS 24-hr,37,2,2,yes,95.6,98.9,97.8,96.7
Prince George Lakewood,2015,PCO,24-hour,trs,TRS 24-hr,30,2,2,yes,85.6,80.2,91.3,100
Prince George Lakewood,2016,PCO,24-hour,trs,TRS 24-hr,30,2,2,yes,100,100,100,98.9
Prince George Lakewood,2017,PCO,24-hour,trs,TRS 24-hr,34,2,2,yes,98.9,96.7,84.8,100
Prince George Lakewood,2018,PCO,24-hour,trs,TRS 24-hr,32,2,2,yes,96.7,98.9,96.7,100
Prince George Lakewood,2019,PCO,24-hour,trs,TRS 24-hr,22,2,2,yes,100,96.7,100,95.7
Prince George Lakewood,2020,PCO,24-hour,trs,TRS 24-hr,10,2,2,yes,97.8,98.9,100,100
Prince George Lakewood,2021,PCO,24-hour,trs,TRS 24-hr,24,2,2,yes,100,98.9,98.9,100
Prince George Lakewood,2022,PCO,24-hour,trs,TRS 24-hr,15,2,2,yes,98.9,98.9,100,94.6
Prince George Lakewood,2023,PCO,24-hour,trs,TRS 24-hr,35,2,2,yes,98.9,96.7,94.6,100
Prince George Lakewood,2024,PCO,24-hour,trs,TRS 24-hr,29,2,2,yes,97.8,100,100,93.5
Prince George Lakewood,2025,PCO,24-hour,trs,TRS 24-hr,16,2,2,yes,96.7,94.5,98.9,85.9
Prince George Plaza 400,2005,BC AQO,24-hour,pm25,PM2.5 24-hr,31.7,25,25,yes,,,,
Prince George Plaza 400,2006,BC AQO,24-hour,pm25,PM2.5 24-hr,26.4,25,25,yes,,,,
Prince George Plaza 400,2007,BC AQO,24-hour,pm25,PM2.5 24-hr,25.4,25,25,yes,,,,
Prince George Plaza 400,2008,BC AQO,24-hour,pm25,PM2.5 24-hr,29.5,25,25,yes,,,,
Prince George Plaza 400,2009,BC AQO,24-hour,pm25,PM2.5 24-hr,27.8,25,25,yes,,,,
Prince George Plaza 400,2010,BC AQO,24-hour,pm25,PM2.5 24-hr,41.2,25,25,yes,,,,
Prince George Plaza 400,2011,BC AQO,24-hour,pm25,PM2.5 24-hr,24,25,25,yes,,,,
Prince George Plaza 400,2012,BC AQO,24-hour,pm25,PM2.5 24-hr,31.6,25,25,yes,,,,
Prince George Plaza 400,2013,BC AQO,24-hour,pm25,PM2.5 24-hr,23.4,25,25,yes,68.9,100,100,100
