station_name,year,type,time_average,param,name,value,threshold,threshold_2025,data_capture_met,q1,q2,q3,q4
Prince George Plaza 400,2010,CAAQS,1-hour,no2,NO2 1-hr,,60,42,no,97.8,98.9,100,94.6
Prince George Plaza 400,2011,CAAQS,1-hour,no2,NO2 1-hr,,60,42,no,76.7,50.5,92.4,88
Prince George Plaza 400,2012,CAAQS,1-hour,no2,NO2 1-hr,42,60,42,yes,98.9,96.7,98.9,100
Prince George Plaza 400,2013,CAAQS,1-hour,no2,NO2 1-hr,45,60,42,yes,100,100,98.9,92.4
Prince George Plaza 400,2014,CAAQS,1-hour,no2,NO2 1-hr,46,60,42,yes,97.8,93.4,96.7,95.7
Prince George Plaza 400,2015,CAAQS,1-hour,no2,NO2 1-hr,45,60,42,yes,92.2,98.9,60.9,100
Prince George Plaza 400,2016,CAAQS,1-hour,no2,NO2 1-hr,43,60,42,yes,100,96.7,80.4,80.4
Prince George Plaza 400,2017,CAAQS,1-hour,no2,NO2 1-hr,41,60,42,yes,21.1,97.8,51.1,
Prince George Plaza 400,2018,CAAQS,1-hour,no2,NO2 1-hr,47,60,42,yes,83.3,86.8,88,98.9
Prince George Plaza 400,2019,CAAQS,1-hour,no2,NO2 1-hr,51,60,42,yes,100,97.8,100,100
Prince George Plaza 400,2020,CAAQS,1-hour,no2,NO2 1-hr,47,60,42,yes,100,100,100,100
Prince George Plaza 400,2021,CAAQS,1-hour,no2,NO2 1-hr,43,60,42,yes,100,100,100,100
Prince George Plaza 400,2022,CAAQS,1-hour,no2,NO2 1-hr,41,60,42,yes,96.7,100,100,100
Prince George Plaza 400,2023,CAAQS,1-hour,no2,NO2 1-hr,43,60,42,yes,95.6,100,98.9,97.8
Prince George Plaza 400,2024,CAAQS,1-hour,no2,NO2 1-hr,44,60,42,yes,100,97.8,96.7,96.7
Prince George Plaza 400,2025,CAAQS,1-hour,no2,NO2 1-hr,44,60,42,yes,93.3,100,100,92.4
Prince George Plaza 400,2010,CAAQS,annual,no2,NO2 annual,9.8,17,12,yes,97.8,98.9,100,94.6
Prince George Plaza 400,2011,CAAQS,annual,no2,NO2 annual,10.1,17,12,no,76.7,50.5,92.4,88
Prince George Plaza 400,2012,CAAQS,annual,no2,NO2 annual,10.3,17,12,yes,98.9,96.7,98.9,100
Prince George Plaza 400,2013,CAAQS,annual,no2,NO2 annual,10.2,17,12,yes,100,100,98.9,92.4
Prince George Plaza 400,2014,CAAQS,annual,no2,NO2 annual,9.5,17,12,yes,97.8,93.4,96.7,95.7
Prince George Plaza 400,2015,CAAQS,annual,no2,NO2 annual,9.8,17,12,yes,92.2,98.9,60.9,100
Prince George Plaza 400,2016,CAAQS,annual,no2,NO2 annual,8.9,17,12,yes,100,96.7,80.4,80.4
Prince George Plaza 400,2017,CAAQS,annual,no2,NO2 annual,7.6,17,12,no,21.1,97.8,51.1,
Prince George Plaza 400,2018,CAAQS,annual,no2,NO2 annual,10.4,17,12,yes,83.3,86.8,88,98.9
Prince George Plaza 400,2019,CAAQS,annual,no2,NO2 annual,10.5,17,12,yes,100,97.8,100,100
Prince George Plaza 400,2020,CAAQS,annual,no2,NO2 annual,7.8,17,12,yes,100,100,100,100
Prince George Plaza 400,2021,CAAQS,annual,no2,NO2 annual,8.3,17,12,yes,100,100,100,100
Prince George Plaza 400,2022,CAAQS,annual,no2,NO2 annual,8.6,17,12,yes,96.7,100,100,100
Prince George Plaza 400,2023,CAAQS,annual,no2,NO2 annual,9.4,17,12,yes,95.6,100,98.9,97.8
Prince George Plaza 400,2024,CAAQS,annual,no2,NO2 annual,8,17,12,yes,100,97.8,96.7,96.7
Prince George Plaza 400,2025,CAAQS,annual,no2,NO2 annual,8.3,17,12,yes,93.3,100,100,92.4
Prince George Plaza 400,2010,CAAQS,1-hour,so2,SO2 1-hr,,70,65,no,97.8,100,100,94.6
Prince George Plaza 400,2011,CAAQS,1-hour,so2,SO2 1-hr,53,70,65,yes,86.7,94.5,96.7,94.6
Prince George Plaza 400,2012,CAAQS,1-hour,so2,SO2 1-hr,55,70,65,yes,97.8,93.4,98.9,96.7
Prince George Plaza 400,2013,CAAQS,1-hour,so2,SO2 1-hr,57,70,65,yes,100,100,100,100
Prince George Plaza 400,2014,CAAQS,1-hour,so2,SO2 1-hr,59,70,65,yes,98.9,96.7,98.9,97.8
Prince George Plaza 400,2015,CAAQS,1-hour,so2,SO2 1-hr,59,70,65,yes,95.6,98.9,95.7,43.5
Prince George Plaza 400,2016,CAAQS,1-hour,so2,SO2 1-hr,47,70,65,yes,91.2,95.6,100,97.8
Prince George Plaza 400,2017,CAAQS,1-hour,so2,SO2 1-hr,,70,65,no,97.8,96.7,55.4,
Prince George Plaza 400,2018,CAAQS,1-hour,so2,SO2 1-hr,48,70,65,yes,80,100,85.9,100
Prince George Plaza 400,2019,CAAQS,1-hour,so2,SO2 1-hr,44,70,65,yes,93.3,76.9,100,100
Prince George Plaza 400,2020,CAAQS,1-hour,so2,SO2 1-hr,40,70,65,yes,100,98.9,98.9,100
Prince George Plaza 400,2021,CAAQS,1-hour,so2,SO2 1-hr,34,70,65,yes,95.6,100,98.9,100
Prince George Plaza 400,2022,CAAQS,1-hour,so2,SO2 1-hr,36,70,65,yes,94.4,100,98.9,100
Prince George Plaza 400,2023,CAAQS,1-hour,so2,SO2 1-hr,34,70,65,yes,97.8,94.5,98.9,97.8
Prince George Plaza 400,2024,CAAQS,1-hour,so2,SO2 1-hr,34,70,65,yes,100,98.9,91.3,95.7
Prince George Plaza 400,2025,CAAQS,1-hour,so2,SO2 1-hr,29,65,65,yes,86.7,100,100,93.5
Prince George Plaza 400,2010,CAAQS,annual,so2,SO2 annual,2.7,5,4,yes,97.8,100,100,94.6
Prince George Plaza 400,2011,CAAQS,annual,so2,SO2 annual,1.9,5,4,yes,86.7,94.5,96.7,94.6
Prince George Plaza 400,2012,CAAQS,annual,so2,SO2 annual,2.3,5,4,yes,97.8,93.4,98.9,96.7
Prince George Plaza 400,2013,CAAQS,annual,so2,SO2 annual,2.4,5,4,yes,100,100,100,100
Prince George Plaza 400,2014,CAAQS,annual,so2,SO2 annual,2.3,5,4,yes,98.9,96.7,98.9,97.8
Prince George Plaza 400,2015,CAAQS,annual,so2,SO2 annual,2.3,5,4,no,95.6,98.9,95.7,43.5
Prince George Plaza 400,2016,CAAQS,annual,so2,SO2 annual,1.9,5,4,yes,91.2,95.6,100,97.8
Prince George Plaza 400,2017,CAAQS,annual,so2,SO2 annual,1.9,5,4,no,97.8,96.7,55.4,
Prince George Plaza 400,2018,CAAQS,annual,so2,SO2 annual,1.4,5,4,yes,80,100,85.9,100
Prince George Plaza 400,2019,CAAQS,annual,so2,SO2 annual,1.2,5,4,yes,93.3,76.9,100,100
Prince George Plaza 400,2020,CAAQS,annual,so2,SO2 annual,1,5,4,yes,100,98.9,98.9,100
Prince George Plaza 400,2021,CAAQS,annual,so2,SO2 annual,1.6,5,4,yes,95.6,100,98.9,100
